"","Pos","Points","Assists","Rebounds","Year"
"1","PF",9.1,0.9,6.3,1991
"2","SG",14.5,2.2,3,1991
"3","PF",2.8,0.2,1.9,1991
"4","PF",1.8,0.4,1.2,1991
"5","SF",21.4,3.5,4.6,1991
"6","PG",2.9,2.5,0.7,1991
"7","PG",19.4,12.5,6.9,1991
"8","C",4,0.3,3.1,1991
"9","PF",13.5,1.5,7.4,1991
"10","SG",9.9,1,2.2,1991
"11","SG",3.7,2.1,1.1,1991
"12","C",11.2,1.1,8.1,1991
"13","PF",13.6,1.4,9.3,1992
"14","SG",14.9,2.8,3.8,1992
"15","SF",3.6,0.6,1.9,1992
"16","PF",3.2,1,2.1,1992
"17","PG",1.6,1.7,0.7,1992
"18","C",7.1,0.7,5.2,1992
"19","C",1.6,0.1,1.9,1992
"20","SF",19.9,4.7,5.6,1992
"21","SF",1.3,0.2,0.8,1992
"22","PG",2.8,1.8,0.6,1992
"23","PF",16.5,2.2,8.8,1992
"24","PG",15.1,7.2,3.1,1992
"25","SG",10.7,1.4,2.2,1992
"26","PG",4.4,1.7,1.2,1992
"27","C",11.3,1.7,6.8,1992
"28","PF",12.8,1.4,8.7,1993
"29","SF",1.3,0.3,0.9,1993
"30","SG",10.4,2.2,2.3,1993
"31","C",5.7,0.4,3.6,1993
"32","SG",13.7,2.7,2.3,1993
"33","SG",6.2,2.3,2.2,1993
"34","PG",2.4,2.3,0.8,1993
"35","PF",7.7,0.6,4.2,1993
"36","C",6.3,0.8,1.9,1993
"37","SF",14.9,3.4,3,1993
"38","PG",15.1,6.9,3.4,1993
"39","SG",6,1.1,1.5,1993
"40","C",12.8,2.8,8.9,1993
"41","PF",14.7,1.7,9.2,1994
"42","SF",19.1,1.7,6.5,1994
"43","PF",21.6,4.6,11.1,1994
"44","SG",16.5,3.4,4.4,1994
"45","SG",8.9,2.6,1.9,1994
"46","PG",2.1,1.2,0.4,1994
"47","PG",3.9,4.6,1.4,1994
"48","PG",4.6,2.1,1.2,1994
"49","PF",2.2,0.2,1.7,1994
"50","C",3.9,0.6,2.6,1994
"51","PG",20,9.5,2.5,1994
"52","C",1.5,0,1,1994
"53","C",4.7,0.4,3.6,1994
"54","C",9.2,3.5,6.9,1994
"55","SG",1,1,0.5,1994
"56","SF",11.2,1.5,8.2,1995
"57","SF",2.7,0.3,0.9,1995
"58","SF",0.9,0.1,0.4,1995
"59","PF",23,4.1,11.1,1995
"60","SF",15.6,4.1,4.6,1995
"61","SG",7.7,2.8,1.4,1995
"62","PF",17.9,3.3,6,1995
"63","C",4.4,1.3,3,1995
"64","PG",9.7,4.8,1.8,1995
"65","C",3.7,0.5,3.5,1995
"66","PG",15.5,7.7,2.5,1995
"67","SF",5.5,0.5,1.9,1995
"68","PG",4.8,1,0.5,1995
"69","PF",10,0.7,3.8,1995
"70","SG",10.4,1.3,2.6,1995
"71","SF",7.5,0.9,6.7,1996
"72","PF",23.2,3.7,11.5,1996
"73","SG",4,0.7,1.8,1996
"74","PF",13.4,2,4.3,1996
"75","PG",8.6,4.4,1.7,1996
"76","C",7.3,1,6,1996
"77","C",2.9,0.8,2.3,1996
"78","C",1.6,0.2,0.4,1996
"79","PG",18.7,9.2,4,1996
"80","SF",4.5,0.3,2.6,1996
"81","SF",15,3.5,4.6,1996
"82","PF",1.1,0.4,0.8,1996
"83","PG",2.9,1.5,1.3,1996
"84","PF",10.7,0.9,3.4,1996
"85","SG",12.7,1.7,3.9,1996
"86","PF",7.2,0.8,7.9,1997
"87","PG",10,4.3,1.8,1997
"88","SF",3.7,0.6,2.3,1997
"89","SG",10.6,2.4,3.3,1997
"90","PF",1.8,0,0.9,1997
"91","C",2,0.3,1.9,1997
"92","SF",3.4,1.4,2.1,1997
"93","SF",2.4,0.3,1,1997
"94","PG",8.2,3.6,1.8,1997
"95","PF",3.7,0.5,1.6,1997
"96","SF",15,2.7,4.5,1997
"97","PG",14.3,8.4,2.7,1997
"98","PF",5,0.4,3.4,1997
"99","SG",12.5,1.8,2.4,1997
"100","C",13.2,0.7,8.3,1997
"101","C",2.2,0.1,2.5,1997
"102","SG",1.8,0.5,1.3,1997
"103","PF",7.3,1.5,8.2,1998
"104","PF",0,0,0,1998
"105","SG",3.3,0.9,1.8,1998
"106","SF",11.4,1.3,4.7,1998
"107","C",5.9,0.9,3.8,1998
"108","C",3.6,0.6,3.4,1998
"109","SG",7.6,2.5,2.4,1998
"110","SG",11.1,1.9,2.1,1998
"111","PG",8.7,2.8,2.3,1998
"112","PF",7.4,0.6,4.8,1998
"113","PF",5.7,0.7,2.8,1998
"114","SF",21.5,4.9,5.3,1998
